GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,pop,hh,r_hh,eviction_rate,rank_eviction_rate,corp_own_rate,rank_corp_own_rate,non_white_rate,rank_non_white_rate,o_mhi,mhi,rank_mhi,r_mhi,rank_r_mhi,white_rate,black_rate,hispanic_rate,asian_rate,othr_race_rate
25025050400,2.0,15.0,10.0,5.0,0.3677811550151976,2372,967,611,0.8178545859517938,121.0,0.2355623100303951,37.0,60.58178752107926,67.0,88824.0,48697.0,76.0,41359.0,95.0,39.41821247892074,2.782462057335582,50.75885328836425,2.6559865092748733,4.384485666104554
25025050500,2.0,13.0,6.0,6.0,0.2872062663185378,1857,659,469,1.2773266187530221,103.0,0.3028720626631854,14.0,61.76628971459343,63.0,75208.0,40625.0,56.0,33873.0,77.0,38.233710285406566,1.56165858912224,53.63489499192246,2.5848142164781907,3.9849219170705465
25025050600,5.0,4.0,13.0,8.0,0.3044354838709677,2063,746,518,1.5417492326222948,95.0,0.2923387096774194,20.0,74.64857004362578,47.0,56019.0,56875.0,103.0,58275.0,136.0,25.35142995637421,1.9389238972370333,66.6020358700921,2.1812893843916625,3.926320891905006
25025050700,4.0,6.0,19.0,25.0,0.3310344827586207,4504,1455,973,2.568462819286499,77.0,0.2241379310344827,43.0,72.80195381882771,49.0,83869.0,57566.0,105.0,54730.0,130.0,27.19804618117229,1.8206039076376554,64.52042628774423,1.9094138543516874,4.551509769094135
25025050901,3.0,16.0,17.0,7.0,0.3788049605411499,4165,1324,822,0.8511029109391878,119.0,0.2187147688838782,47.0,70.82833133253301,52.0,76875.0,51038.0,83.0,34871.0,80.0,29.17166866746699,1.680672268907563,64.921968787515,2.0648259303721486,2.160864345738307
25025051000,10.0,18.0,33.0,59.0,0.4989473684210526,4089,1670,836,7.051024002415336,21.0,0.1778947368421052,74.0,45.805820494008316,86.0,66181.0,42301.0,61.0,31397.0,66.0,54.19417950599168,2.39667400342382,38.4446074834923,2.959158718513084,2.005380288579122
25025051101,7.0,16.0,17.0,14.0,0.5105762217359592,6093,2190,1071,1.30616744584856,101.0,0.1692195477753464,87.0,47.66125061546037,82.0,78399.0,53750.0,92.0,45417.0,104.5,52.33874938453964,5.383226653536846,35.696701132447075,3.741999015263417,2.8393238142130244
25025051200,9.0,10.0,29.0,14.0,0.4038245219347581,2379,1023,609,2.2955052656817716,82.0,0.1788526434195725,71.0,43.29550231189575,94.0,71493.0,46890.0,71.0,43508.0,101.0,56.70449768810425,2.480033627574611,34.552332912988646,2.185792349726776,4.0773434216057165
25025060101,2.0,1.0,0.0,2.0,0.4506578947368421,3216,1575,865,0.2311567341507461,149.0,0.1486842105263157,108.0,3.1405472636815923,166.0,92647.0,82500.0,142.0,71759.0,147.0,96.8594527363184,0.5597014925373134,1.3681592039800996,0.43532338308457713,0.7773631840796069
25025060200,0.0,1.0,0.0,1.0,0.4634433962264151,1916,927,497,0.20105029813767675,154.0,0.1415094339622641,115.0,1.6701461377870561,167.0,111016.0,90577.0,152.0,87750.0,162.0,98.32985386221294,0.15657620041753653,0.6784968684759917,0.36534446764091855,0.4697286012526104
25025060301,0.0,2.0,5.0,3.0,0.4410150891632373,3076,1540,860,0.3484981276392319,141.0,0.1556927297668038,101.0,3.4785435630689205,165.0,104125.0,89318.0,149.0,73870.0,151.0,96.52145643693108,0.6501950585175552,0.9102730819245773,0.9102730819245773,1.0078023407022147
25025060400,6.0,3.0,4.0,7.0,0.4401794616151545,4904,2378,1331,0.5258203163908999,132.0,0.154037886340977,104.0,5.66884176182708,163.0,109125.0,78220.0,139.0,48250.0,113.0,94.33115823817292,1.0195758564437194,1.8352365415986949,1.733278955954323,1.080750407830345
25025060501,1.0,5.0,8.0,2.0,0.3773905652358691,3571,1831,1139,0.17543892350736184,157.0,0.1767955801104972,78.0,6.384766171940632,162.0,124718.0,91630.0,154.0,78973.0,153.0,93.61523382805936,0.6160739288714646,2.016241949033884,2.7723326799215906,0.9801176141137016
25025060600,19.0,26.0,59.0,51.0,0.2827868852459016,2357,1370,982,5.190406673618353,41.0,0.2971311475409836,18.0,13.491726771319474,150.0,80682.0,81627.0,141.0,81875.0,157.0,86.50827322868052,1.230377598642342,3.903266864658464,6.364022061943148,1.9940602460755237
25025060700,7.0,1.0,6.0,15.0,0.0,1893,617,617,2.4311183144246353,80.0,0.0,167.0,81.29952456418383,41.0,0.0,17592.0,13.0,17592.0,21.0,18.700475435816163,20.126782884310618,46.32857897517169,9.77284733227681,5.0713153724247295
25025060800,2.0,1.0,6.0,5.0,0.3610648918469218,3964,2002,1279,0.3908851565101565,140.0,0.1846921797004991,67.0,9.762865792129162,156.0,96429.0,80000.0,140.0,66724.0,141.0,90.23713420787084,0.9838546922300706,2.674066599394551,4.6165489404641775,1.4883955600403613
25025061000,20.0,2.0,3.0,3.0,0.4259259259259259,3098,1239,711,0.42177614621573056,136.0,0.137037037037037,117.0,58.55390574564235,71.0,79460.0,26471.0,24.0,21473.0,32.0,41.446094254357654,14.977404777275662,28.8896061975468,11.03938024531956,3.647514525500327
25025061101,10.0,1.0,5.0,19.0,0.1470588235294117,2232,982,837,2.268417725963902,84.0,0.1764705882352941,80.5,79.88351254480287,43.0,0.0,11956.0,1.0,11956.0,2.0,20.11648745519713,20.92293906810036,41.89068100358423,14.023297491039427,3.0465949820788527
25025061200,1.0,4.0,20.0,22.0,0.3673876871880199,3240,1753,1108,1.9838239278993581,89.0,0.2066555740432612,55.0,15.339506172839506,148.0,88750.0,67813.0,124.0,58063.0,134.0,84.6604938271605,2.0987654320987654,4.814814814814815,6.851851851851852,1.5740740740740735
25025070101,16.0,26.0,41.0,31.0,0.2364398422090729,5902,2875,2195,1.4121492047002004,100.0,0.2985700197238659,17.0,40.29142663503897,97.0,142969.0,47609.0,74.0,19058.0,26.0,59.708573364961026,4.642494069806845,6.099627245001694,27.177228058285323,2.372077261945112
25025070200,0.0,14.0,14.0,11.0,0.1900826446280991,5218,1533,1241,0.8859512493842937,114.0,0.3057851239669421,12.0,66.48141050210809,59.0,96736.0,14823.0,4.0,13674.0,4.0,33.51858949789192,3.4879264085856647,3.0663089306247606,58.221540820237635,1.7056343426600193
